UNIX_TS,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE,Hour,Weekday,Month,Season
1333367940,639,45,4,448,0,7,0,0,47,112,39,19,9,1,8,0,0,0,150,5,0,39,60,3,0,4,1
1333371540,735,43,4,569,0,7,0,0,45,112,41,19,9,1,8,0,2,0,7,5,0,38,56,4,0,4,1
1333375140,950,648,4,574,0,7,0,0,45,112,38,19,9,0,9,0,0,0,7,5,0,38,63,5,0,4,1
1333378740,594,43,4,445,0,7,0,0,45,111,38,19,9,1,8,0,0,0,145,5,0,38,565,6,0,4,1
1333382340,996,43,4,889,0,440,0,0,47,111,38,19,9,0,9,0,0,0,6,5,0,38,531,7,0,4,1
1333385940,927,43,4,882,0,7,0,0,44,111,39,19,9,1,9,0,0,0,89,5,0,38,46,8,0,4,1
1333389540,808,43,4,701,0,7,0,0,45,111,38,434,9,1,8,0,0,0,144,50,0,39,71,9,0,4,1
1333393140,831,43,4,999,0,7,94,0,47,110,38,19,9,0,8,0,0,0,7,5,0,38,95,10,0,4,1
1333396740,996,45,4,978,0,8,91,0,44,113,38,19,9,1,7,0,0,0,7,5,2,38,88,11,0,4,1
1333400340,900,472,4,960,0,7,0,0,45,105,38,627,9,1,7,0,0,0,149,5,0,38,89,12,0,4,1
1333403940,781,475,4,569,0,7,0,0,47,114,38,19,9,1,7,0,0,0,7,5,0,38,57,13,0,4,1
1333407540,968,781,4,556,0,7,0,0,47,115,39,20,9,1,7,0,0,0,151,5,0,39,60,14,0,4,1
1333411140,959,70,4,997,0,7,0,0,45,114,38,20,9,1,7,0,0,0,7,5,0,49,70,15,0,4,1
1333414740,881,520,4,475,0,7,0,0,46,104,39,21,9,1,7,0,0,0,7,5,0,49,42,16,0,4,1
1333418340,891,614,4,976,0,7,0,0,45,115,38,19,9,1,7,7,0,0,7,5,0,39,993,17,0,4,1
1333421940,991,63,4,928,353,7,0,0,45,105,37,609,9,1,57,7,0,0,79,5,0,39,990,18,0,4,1
1333425540,996,66,4,990,21,7,0,0,45,105,37,21,9,1,65,6,0,0,7,5,0,39,670,19,0,4,1
1333429140,987,63,4,978,0,7,0,0,45,104,38,24,9,1,8,0,0,0,146,5,0,39,490,20,0,4,1
1333432740,3710,63,4,3563,0,7,0,0,46,116,39,505,9,1,72,0,0,0,7,5,0,39,671,21,0,4,1
1333436340,977,66,4,985,0,7,0,0,47,116,38,198,9,1,8,0,0,0,7,52,0,39,99,22,0,4,1
1333439940,616,45,4,445,0,7,0,0,47,115,38,19,9,1,8,0,0,0,142,5,0,40,66,23,0,4,1
1333443540,603,45,4,453,0,7,0,0,45,115,39,19,9,1,8,0,0,0,7,5,0,39,57,0,1,4,1
1333447140,607,45,4,564,0,7,0,0,46,115,41,19,9,1,8,0,0,0,7,5,0,40,56,1,1,4,1
1333450740,498,45,4,313,0,7,0,0,45,116,39,19,9,1,8,0,0,0,7,5,0,39,65,2,1,4,1
1333454340,630,45,4,573,0,7,0,0,45,115,38,19,9,1,8,0,0,0,7,5,0,41,61,3,1,4,1
1333457940,612,45,4,441,0,7,0,0,46,115,39,19,9,1,8,0,0,0,146,5,0,40,58,4,1,4,1
1333461540,941,621,4,548,0,7,0,0,44,115,38,19,9,1,8,0,0,0,147,5,0,40,59,5,1,4,1
1333465140,598,43,4,425,0,7,0,0,46,115,37,19,9,1,8,0,0,0,7,5,0,39,57,6,1,4,1
1333468740,859,43,4,964,0,7,0,0,46,115,995,20,9,0,8,0,0,0,7,56,0,39,964,7,1,4,1
1333472340,891,43,4,731,0,7,0,0,45,115,39,19,9,0,7,0,0,0,7,50,0,40,445,8,1,4,1
1333475940,987,45,4,818,0,7,0,0,45,115,38,19,9,0,7,0,0,0,79,5,0,39,70,9,1,4,1
1333479540,648,45,4,603,0,7,0,0,46,114,39,20,9,0,7,0,0,0,7,5,0,40,90,10,1,4,1
1333483140,584,45,4,464,0,7,0,0,44,115,38,20,9,1,7,0,0,0,7,5,0,39,69,11,1,4,1
1333486740,836,45,4,774,0,7,0,0,45,115,39,218,9,1,7,0,0,0,142,5,0,40,58,12,1,4,1
1333490340,827,477,4,663,0,7,0,0,45,116,38,196,9,1,7,0,0,0,7,5,0,39,52,13,1,4,1
1333493940,836,797,4,953,0,7,0,0,47,116,38,75,9,1,8,0,0,0,81,5,0,40,78,14,1,4,1
1333497540,5890,817,4,994,0,406,0,0,45,106,38,83,9,3563,8,0,0,0,9,59,0,49,94,15,1,4,1
1333501140,987,658,4,969,0,400,0,0,45,107,37,61,9,44,8,0,0,0,9,5,0,50,95,16,1,4,1
1333504740,4035,621,4,989,20,43,0,0,44,105,36,80,9,1,8,0,0,0,78,5,0,39,952,17,1,4,1
1333508340,991,630,4,978,21,7,0,0,46,115,929,592,9,1,8,0,31,0,144,6,0,39,98,18,1,4,1
1333511940,982,648,4,978,21,380,0,0,44,114,39,63,9,1,8,0,37,0,7,5,0,39,414,19,1,4,1
1333515540,996,66,4,975,0,383,0,0,47,114,38,67,9,1,8,0,9,0,6,4,0,39,760,20,1,4,1
1333519140,991,66,4,998,0,336,0,0,47,115,39,63,9,1,8,0,4,0,7,5,0,395,95,21,1,4,1
1333522740,973,68,4,990,0,7,0,0,44,115,39,62,9,1,8,0,6,0,7,5,0,39,93,22,1,4,1
1333526340,744,45,4,427,0,7,0,0,45,115,42,63,9,1,8,0,6,0,146,5,0,39,59,23,1,4,1
1333529940,708,45,4,528,0,7,0,0,46,115,38,63,9,1,8,0,6,0,7,5,0,39,96,0,2,4,1
1333533540,589,45,4,535,0,8,0,0,45,115,37,63,9,1,8,0,7,0,148,5,0,39,66,1,2,4,1
1333537140,598,45,4,553,0,7,0,0,46,115,41,64,9,1,8,0,7,0,143,5,0,39,68,2,2,4,1
1333540740,589,45,4,528,0,7,0,0,47,115,43,20,9,1,8,0,6,0,7,5,0,39,63,3,2,4,1
1333544340,479,45,4,318,0,7,0,0,45,115,43,64,9,1,8,0,2,0,142,5,0,40,63,4,2,4,1
1333547940,968,619,4,583,0,7,0,0,46,115,37,63,9,1,8,0,0,0,7,51,0,40,62,5,2,4,1
1333551540,731,45,4,560,0,7,0,0,45,115,38,20,9,1,8,0,0,0,7,5,0,39,65,6,2,4,1
1333555140,552,43,4,509,0,7,0,0,45,115,38,64,9,1,8,0,2,0,7,5,0,40,56,7,2,4,1
1333558740,722,43,4,583,0,7,0,0,47,115,38,63,9,1,8,0,0,0,7,5,0,39,49,8,2,4,1
1333562340,639,43,4,473,0,7,0,0,44,115,41,26,9,1,8,0,0,0,8,5,0,40,59,9,2,4,1
1333565940,859,45,4,697,0,8,89,0,45,107,38,53,9,1,8,0,3,0,84,5,2,39,94,10,2,4,1
1333569540,996,45,4,983,0,8,93,0,45,115,38,63,9,0,8,0,0,0,145,5,2,39,781,11,2,4,1
1333573140,900,45,4,789,0,7,0,0,47,114,38,87,9,1,8,0,0,0,7,5,0,39,46,12,2,4,1
1333576740,776,477,4,604,0,7,0,0,45,105,38,62,9,1,8,0,0,0,7,5,0,39,86,13,2,4,1
1333580340,991,792,4,558,0,7,0,0,45,115,38,20,9,1,8,0,0,0,143,5,0,39,62,14,2,4,1
1333583940,991,754,4,571,0,7,42,0,46,115,38,65,9,1,8,5,0,0,7,51,0,39,91,15,2,4,1
1333587540,987,964,4,999,0,8,99,0,44,106,38,70,9,1,8,4612,0,0,203,5,0,40,90,16,2,4,1
1333591140,717,66,4,715,0,7,92,0,45,106,38,62,9,1,8,0,0,0,7,5,0,39,76,17,2,4,1
1333594740,996,63,4,914,21,7,0,0,45,374,41,24,9,2650,8,0,0,0,7,50,0,40,866,18,2,4,1
1333598340,813,66,4,871,21,7,0,0,44,114,41,62,9,1,81,0,0,0,141,5,0,39,78,19,2,4,1
1333601940,790,66,4,974,0,7,0,0,45,115,38,62,9,1,8,9,0,0,7,6,0,40,74,20,2,4,1
1333605540,5831,516,4,948,0,339,0,0,46,108,38,24,9,0,8,4592,0,0,146,5,0,386,87,21,2,4,1
1333609140,982,562,4,965,0,7,0,0,45,107,38,19,9,1,8,0,0,0,891,5,0,39,99,22,2,4,1
1333612740,621,45,4,462,0,8,0,0,45,115,999,62,9,0,8,0,0,0,369,5,0,40,64,23,2,4,1
1333616340,607,45,4,436,0,7,0,0,45,115,38,19,9,1,8,0,0,0,145,5,0,39,57,0,3,4,1
1333619940,594,45,4,409,0,7,0,0,47,115,41,61,9,1,8,0,0,0,7,5,0,39,63,1,3,4,1
1333623540,616,59,4,443,0,7,0,0,45,116,38,62,9,1,8,0,0,0,7,5,0,39,60,2,3,4,1
1333627140,584,45,4,411,0,7,0,0,46,115,41,19,9,0,8,0,0,0,151,5,0,39,57,3,3,4,1
1333630740,616,45,4,533,0,8,0,0,46,115,38,19,9,1,8,0,0,0,458,5,0,39,63,4,3,4,1
1333634340,923,669,4,608,0,7,0,0,47,116,38,62,9,1,8,0,0,0,144,5,0,40,54,5,3,4,1
1333637940,872,45,4,697,0,7,0,0,44,115,4,19,9,1,8,0,0,0,7,5,0,40,62,6,3,4,1
1333641540,936,45,4,891,0,7,0,0,46,115,38,81,9,1,9,0,44,0,7,5,0,39,778,7,3,4,1
1333645140,776,45,4,912,0,7,0,0,45,114,39,24,9,1,8,0,30,0,7,53,0,61,55,8,3,4,1
1333648740,977,47,4,934,0,7,0,0,46,115,39,63,9,1,8,0,9,0,7,5,0,39,8,9,3,4,1
1333652340,996,43,4,992,0,335,0,0,44,115,38,63,9,1,9,0,8,0,145,5,0,419,90,10,3,4,1
1333655940,973,45,4,928,0,7,0,0,45,108,38,83,9,1,8,0,9,0,7,5,0,50,58,11,3,4,1
1333659540,667,43,4,564,0,7,0,0,45,107,38,72,9,0,74,0,9,0,7,5,0,40,56,12,3,4,1
1333663140,804,45,4,647,0,7,0,0,47,115,41,66,9,1,8,0,9,0,7,5,0,40,61,13,3,4,1
1333666740,982,939,4,590,0,7,0,0,46,108,38,66,9,1,8,0,9,0,124,53,0,40,49,14,3,4,1
1333670340,626,43,4,468,0,7,0,0,45,115,38,67,9,1,8,0,9,0,81,5,0,39,69,15,3,4,1
1333673940,900,43,4,704,0,7,0,0,46,108,39,74,9,1,8,0,0,0,7,5,0,39,99,16,3,4,1
1333677540,987,43,4,942,1,8,0,774,47,108,38,61,9,0,8,0,0,0,9,6,0,39,61,17,3,4,1
1333681140,977,43,4,932,21,8,79,778,45,108,38,26,9,1,8,0,0,0,6,6,0,39,99,18,3,4,1
1333684740,982,45,4,937,0,8,97,764,45,107,37,62,9,1,79,0,0,0,141,5,1,39,56,19,3,4,1
1333688340,955,45,4,910,0,332,0,0,47,115,41,70,9,1,8,4967,0,0,8,5,0,388,87,20,3,4,1
1333691940,987,45,4,974,0,7,0,0,45,115,989,76,9,1,8,6,0,0,7,5,0,384,95,21,3,4,1
1333695540,886,45,4,843,0,7,0,0,45,115,39,64,9,1,8,4672,0,0,7,5,0,39,61,22,3,4,1
1333699140,644,45,4,471,0,7,0,0,46,115,39,72,9,1,8,0,0,0,7,5,0,40,57,23,3,4,1
1333702740,776,45,4,580,0,7,0,0,47,115,38,63,9,1,8,0,0,0,7,5,0,40,62,0,4,4,1
1333706340,662,45,4,496,0,8,0,0,45,116,38,75,9,1,8,0,0,0,924,5,0,39,62,1,4,4,1
1333709940,621,45,4,578,0,7,0,0,47,116,38,89,9,1,8,0,0,0,7,5,0,40,65,2,4,4,1
1333713540,479,43,4,434,0,7,0,0,45,115,41,19,9,1,8,0,0,0,7,5,0,39,61,3,4,4,1
1333717140,621,45,4,448,0,7,0,0,47,116,39,62,9,0,8,0,0,0,149,5,0,40,60,4,4,4,1
1333720740,603,45,4,450,0,7,0,0,45,115,39,62,9,0,8,0,0,0,7,5,0,39,59,5,4,4,1
1333724340,575,45,4,457,0,7,0,0,46,115,41,62,9,0,8,0,0,0,7,5,0,39,65,6,4,4,1
1333727940,909,45,4,866,0,7,0,0,47,115,38,19,9,1,8,0,0,0,7,53,0,39,632,7,4,4,1
1333731540,817,45,4,633,0,7,0,0,47,116,38,25,9,1,8,0,0,0,7,53,0,40,90,8,4,4,1
1333735140,662,45,4,523,0,7,0,0,44,108,39,68,9,0,8,0,0,0,880,5,0,39,49,9,4,4,1
1333738740,667,45,4,503,0,7,0,0,44,108,38,24,9,1,72,0,0,0,7,5,0,39,45,10,4,4,1
1333742340,630,45,4,557,0,7,0,0,44,108,38,19,9,0,8,0,0,0,7,64,0,39,90,11,4,4,1
1333745940,959,45,4,980,0,7,0,0,45,115,39,62,9,1,8,0,0,0,7,5,0,39,63,12,4,4,1
1333749540,996,45,4,999,0,338,0,0,46,107,38,19,9,1,8,0,0,0,7,5,0,355,9,13,4,4,1
1333753140,996,45,4,996,0,7,0,0,47,108,38,19,9,0,8,0,0,0,7,5,0,50,78,14,4,4,1
1333756740,758,45,4,580,0,8,0,0,46,108,38,64,9,1,8,0,0,0,147,53,0,39,56,15,4,4,1
1333760340,945,45,4,876,0,7,0,0,47,107,37,21,9,1,8,0,0,0,87,5,0,39,57,16,4,4,1
1333763940,968,43,4,960,21,7,96,0,45,378,39,61,9,1,81,0,6,0,142,55,0,39,80,17,4,4,1
1333767540,900,477,4,917,21,8,99,0,47,107,38,62,9,1,8,0,5,0,75,5,1,41,66,18,4,4,1
1333771140,959,45,4,914,0,7,0,0,44,114,42,77,9,1,68,0,1,0,146,5,0,391,465,19,4,4,1
1333774740,991,45,4,992,0,337,0,0,47,108,38,63,9,0,8,0,1,0,7,5,0,395,85,20,4,4,1
1333778340,987,45,4,992,0,341,0,0,45,116,39,62,9,1,8,0,0,0,8,5,0,399,94,21,4,4,1
1333781940,982,45,4,992,0,7,0,0,45,115,38,63,9,1,8,5,0,0,143,5,0,39,90,22,4,4,1
1333785540,616,45,4,443,0,7,0,0,45,116,38,64,9,1,8,0,0,0,7,5,0,39,60,23,4,4,1
1333789140,895,45,4,850,0,7,0,0,46,116,42,63,9,1,8,0,0,0,7,5,0,39,61,0,5,4,1
1333792740,589,45,4,523,0,7,0,0,47,116,983,63,9,1,8,0,0,0,143,5,0,39,55,1,5,4,1
1333796340,676,45,4,501,0,8,0,0,45,115,41,73,9,1,8,0,0,0,7,5,0,39,62,2,5,4,1
1333799940,621,45,4,450,0,8,0,0,46,116,37,63,9,1,8,0,0,0,7,5,0,39,61,3,5,4,1
1333803540,584,45,4,434,0,7,0,0,47,115,39,63,9,0,8,0,0,0,141,5,0,39,61,4,5,4,1
1333807140,662,45,4,498,0,7,0,0,45,115,39,66,9,1,8,0,0,0,7,5,0,39,57,5,5,4,1
1333810740,575,45,4,398,0,7,0,0,45,115,39,63,9,1,8,0,0,0,7,5,0,39,57,6,5,4,1
1333814340,699,45,4,974,0,7,0,0,45,115,38,82,9,1,8,0,0,0,79,6,0,39,828,7,5,4,1
1333817940,982,45,4,999,0,7,0,0,47,115,38,63,9,0,8,0,0,0,7,5,0,38,76,8,5,4,1
1333821540,964,45,4,958,0,7,0,0,45,108,38,63,9,0,8,0,0,0,146,5,0,49,75,9,5,4,1
1333825140,612,45,4,432,0,7,0,0,45,115,42,64,9,1,8,0,0,0,7,5,0,39,63,10,5,4,1
1333828740,644,45,4,484,0,7,0,0,46,108,38,68,9,1,8,0,0,0,7,5,0,39,48,11,5,4,1
1333832340,626,45,4,451,0,7,0,0,47,108,38,64,9,1,8,0,0,0,144,5,0,39,50,12,5,4,1
1333835940,671,45,4,626,0,7,0,0,45,108,38,63,9,0,8,0,0,0,7,5,0,39,53,13,5,4,1
1333839540,955,45,4,914,0,8,0,0,46,109,39,656,9,0,8,0,0,0,7,5,0,39,604,14,5,4,1
1333843140,987,45,4,983,0,7,0,0,47,108,38,71,9,0,9,0,0,0,81,5,0,418,98,15,5,4,1
1333846740,754,45,4,608,0,7,0,0,44,108,38,19,9,0,9,0,0,0,7,5,0,49,8,16,5,4,1
1333850340,936,45,4,859,21,7,0,0,45,109,38,63,9,1,8,0,0,0,143,5,0,38,68,17,5,4,1
1333853940,927,45,4,882,21,7,0,0,45,108,38,61,9,0,8,0,37,0,7,5,0,38,57,18,5,4,1
1333857540,1462,43,4,1376,0,331,0,0,45,108,37,24,9,1,76,0,37,0,6,43,0,384,449,19,5,4,1
1333861140,1526,43,4,1426,0,332,0,0,45,108,38,61,9,1,69,0,9,0,145,4,0,390,411,20,5,4,1
1333864740,996,45,4,966,0,336,0,0,45,116,38,24,9,1,9,0,9,0,7,63,0,388,93,21,5,4,1
1333868340,562,45,4,978,0,7,0,0,46,117,38,70,9,1,8,0,7,0,7,5,0,50,98,22,5,4,1
1333871940,886,482,4,535,0,7,0,0,46,117,38,70,9,1,8,0,0,0,7,5,0,41,7,23,5,4,1
1333875540,639,45,4,443,0,7,0,0,45,119,38,71,9,1,8,0,0,0,143,5,0,39,60,0,6,4,1
1333879140,626,45,4,455,0,7,0,0,45,118,42,62,9,1,8,0,0,0,7,5,0,39,60,1,6,4,1
1333882740,635,45,4,457,0,7,0,0,47,117,41,19,9,1,8,0,0,0,7,5,0,39,63,2,6,4,1
1333886340,493,45,4,448,0,7,0,0,45,118,41,73,9,1,8,0,0,0,7,5,0,40,59,3,6,4,1
1333889940,552,43,4,503,0,7,0,0,46,119,38,19,9,1,8,0,0,0,146,5,0,39,96,4,6,4,1
1333893540,717,45,4,544,0,8,0,0,45,119,41,19,9,0,8,0,0,0,7,5,0,39,60,5,6,4,1
1333897140,479,45,4,438,0,7,0,0,45,117,38,72,9,1,8,0,0,0,7,5,0,39,70,6,6,4,1
1333900740,598,45,4,452,0,7,0,0,47,118,39,19,9,0,8,0,0,0,144,5,0,39,63,7,6,4,1
1333904340,607,43,4,479,0,7,0,0,44,118,39,26,9,0,8,0,0,0,7,5,0,39,87,8,6,4,1
1333907940,653,45,4,535,0,7,0,0,47,108,38,73,9,0,8,0,0,0,7,58,0,39,9,9,6,4,1
1333911540,795,45,4,748,0,7,0,0,47,108,37,76,9,1,8,0,0,0,7,5,0,39,47,10,6,4,1
1333915140,781,43,4,738,0,7,0,0,44,108,38,21,9,1,8,0,0,0,430,5,0,40,49,11,6,4,1
1333918740,616,45,4,455,0,7,0,0,44,108,37,62,9,0,8,0,0,0,7,5,0,39,51,12,6,4,1
1333922340,612,45,4,450,0,7,0,0,45,108,38,62,9,0,8,0,0,0,148,5,0,40,48,13,6,4,1
1333925940,626,43,4,449,0,7,0,0,47,108,38,20,9,1,8,0,0,0,7,5,0,39,46,14,6,4,1
1333929540,639,50,4,573,0,7,0,0,44,108,38,76,9,1,8,0,0,0,7,5,0,39,90,15,6,4,1
1333933140,598,43,4,555,0,7,0,0,45,108,38,62,9,1,8,0,0,0,72,5,0,39,49,16,6,4,1
1333936740,616,45,4,573,0,7,0,0,45,108,38,19,9,1,8,0,0,0,7,5,0,40,51,17,6,4,1
1333940340,977,45,4,932,21,7,0,0,46,108,38,62,9,0,8,0,0,0,147,5,0,39,585,18,6,4,1
1333943940,968,43,4,994,21,8,0,758,44,108,38,85,9,1,65,0,6,0,7,52,0,39,678,19,6,4,1
1333947540,996,43,4,880,21,8,0,760,45,108,37,24,9,1,72,0,5,0,144,5,0,40,66,20,6,4,1
1333951140,982,45,4,978,0,337,0,749,46,108,38,62,9,1,8,0,1,0,7,5,0,408,69,21,6,4,1
1333954740,991,45,4,994,0,7,0,3,48,119,41,61,9,1,8,0,0,0,7,5,0,89,280,22,6,4,1
1333958340,968,45,4,921,1,8,0,776,45,109,38,62,9,0,8,0,0,0,9,6,0,49,68,23,6,4,1
1333961940,589,45,4,542,0,8,0,3,46,128,42,19,9,0,8,0,0,0,146,5,0,39,81,0,0,4,1
1333965540,722,45,4,567,0,7,0,0,46,120,39,62,9,1,8,0,0,0,7,5,0,39,59,1,0,4,1
1333969140,740,45,4,549,0,7,0,0,47,119,39,19,9,0,8,0,0,0,7,5,0,39,57,2,0,4,1
1333972740,758,45,4,585,0,7,0,0,46,118,39,62,9,1,8,0,0,0,147,5,0,39,54,3,0,4,1
1333976340,735,479,4,558,0,8,0,0,47,119,38,19,9,1,8,0,0,0,753,5,0,39,68,4,0,4,1
1333979940,763,45,4,588,0,7,0,0,45,119,42,63,9,1,8,0,0,0,7,5,0,39,60,5,0,4,1
1333983540,612,43,4,549,0,7,0,0,46,118,38,19,9,1,8,0,0,0,141,5,0,39,61,6,0,4,1
1333987140,594,43,4,547,0,7,0,0,45,119,38,62,9,1,8,0,0,0,7,5,0,39,58,7,0,4,1
1333990740,795,43,4,626,0,8,0,0,45,119,38,63,9,1,8,0,30,0,7,5,0,38,60,8,0,4,1
1333994340,831,45,4,718,0,7,0,0,45,110,38,62,9,0,9,0,46,0,7,5,0,39,56,9,0,4,1
1333997940,936,43,4,763,0,7,0,0,45,111,37,62,9,1,8,0,9,0,142,5,0,39,50,10,0,4,1
1334001540,941,45,4,896,0,7,0,0,45,110,38,61,9,0,8,0,4,0,7,5,0,38,50,11,0,4,1
1334005140,996,45,4,998,0,7,0,0,45,110,38,19,9,1,8,0,1,0,143,5,0,38,58,12,0,4,1
1334008740,936,45,4,935,0,7,0,0,45,110,37,61,9,1,8,0,0,0,7,5,0,389,62,13,0,4,1
1334012340,982,45,4,974,0,7,0,0,45,110,38,61,9,1,71,0,0,0,7,5,0,427,8,14,0,4,1
1334015940,996,833,4,948,0,7,0,0,45,111,38,205,9,2672,8,0,0,0,81,53,0,49,79,15,0,4,1
1334019540,982,534,4,934,0,7,0,0,46,111,38,80,9,89,8,0,0,0,7,5,0,39,96,16,0,4,1
1334023140,973,616,4,899,0,8,0,0,45,111,38,81,9,44,8,0,0,0,7,54,0,39,52,17,0,4,1
1334026740,991,500,4,921,21,7,0,0,46,111,38,79,9,1,8,0,0,0,7,51,0,39,570,18,0,4,1
1334030340,996,484,4,994,21,7,0,0,47,111,38,81,9,0,76,0,0,0,7,52,0,39,617,19,0,4,1
1334033940,991,642,4,974,0,7,0,0,44,111,38,82,9,1,8,0,0,0,40,5,0,38,510,20,0,4,1
1334037540,2439,562,4,990,0,340,0,0,45,111,38,81,9,0,8,0,0,0,7,5,0,345,89,21,0,4,1
1334041140,968,562,4,859,0,7,0,0,45,111,39,81,9,1,8,0,0,0,148,5,0,49,66,22,0,4,1
1334044740,945,479,4,560,0,7,0,0,46,111,38,81,9,0,8,0,0,0,7,5,0,39,61,23,0,4,1
1334048340,644,45,4,469,0,7,0,0,47,112,39,82,9,1,8,0,0,0,146,5,0,39,46,0,1,4,1
1334051940,662,45,4,483,0,7,0,0,46,111,39,81,9,1,8,0,0,0,7,5,0,39,939,1,1,4,1
1334055540,722,45,4,581,0,7,0,0,46,111,38,82,9,1,8,0,0,0,7,5,0,39,48,2,1,4,1
1334059140,836,45,4,658,0,7,0,0,47,112,39,82,9,1,8,0,0,0,7,5,0,38,52,3,1,4,1
1334062740,731,45,4,560,0,8,0,0,46,112,38,82,9,0,8,0,0,0,7,5,0,39,49,4,1,4,1
1334066340,891,486,4,555,0,7,0,0,47,122,38,81,9,1,8,0,0,0,7,5,0,39,56,5,1,4,1
1334069940,735,45,4,544,0,7,0,0,45,120,41,82,9,1,8,0,0,0,8,5,0,38,58,6,1,4,1
1334073540,991,541,4,786,0,7,0,0,45,111,38,82,9,0,8,0,0,0,7,59,0,39,68,7,1,4,1
1334077140,950,619,4,576,0,7,0,0,46,122,38,83,9,1,7,0,0,0,7,5,0,39,58,8,1,4,1
1334080740,982,676,4,886,0,7,0,0,45,111,39,83,9,1,7,0,0,0,7,5,0,39,55,9,1,4,1
1334084340,945,84,4,576,0,7,0,0,47,111,38,76,9,1,7,0,0,0,80,5,0,39,48,10,1,4,1
1334087940,898,571,4,474,0,7,0,0,44,111,38,76,9,1,7,0,0,0,143,5,0,39,53,11,1,4,1
1334091540,973,612,4,564,0,7,0,0,46,111,38,89,9,1,7,0,0,0,7,5,0,39,49,12,1,4,1
1334095140,991,47,4,946,0,7,0,0,44,111,38,78,9,1,7,0,46,0,206,5,0,39,63,13,1,4,1
1334098740,996,678,4,960,0,7,0,0,44,111,38,67,9,0,7,0,22,0,7,5,0,39,80,14,1,4,1
1334102340,996,639,4,832,0,7,0,0,45,111,38,24,9,0,96,0,9,0,7,5,0,39,65,15,1,4,1
